Product ID,Product Name,Category,Price (USD),Quantity in Stock,Description,Keywords/Tags,Age Range
1,Super Soaker Water Gun,Outdoor Toys,15.99,50,"High-powered water gun, perfect for pool parties.","Water toys, summer, outdoor, fun",6+ years
2,LEGO Classic Brick Set,Building Toys,29.99,40,900 pieces for creative building and construction.,"Building, creativity, blocks, STEM",5+ years
3,Remote Control Car,Electronic Toys,24.99,30,Fast RC car with rechargeable battery.,"Remote control, car, racing, tech",7+ years
4,Plush Teddy Bear,Plush Toys,12.99,60,"Soft and cuddly teddy bear, 12 inches tall.","Plush, soft, cuddle, teddy bear",2-6 years
5,Puzzle Mat for Kids,Educational Toys,19.99,25,Foam puzzle mat with alphabet and numbers.,"Puzzle, educational, alphabet, learning",2-5 years
6,Hot Wheels Race Track,Cars & Vehicles,22.99,35,Race track set with two Hot Wheels cars.,"Race track, Hot Wheels, cars, racing",5-12 years
7,Barbie Fashion Doll,Dolls,17.99,45,Barbie doll with trendy outfits and accessories.,"Barbie, fashion, doll, outfits",5-10 years
8,Nerf Blaster Gun,Outdoor Toys,27.99,20,Nerf blaster with foam darts and target board.,"Nerf, blaster, foam darts, action",8-14 years
9,Monopoly Junior Board Game,Board Games,14.99,15,Fun Monopoly version designed for young players.,"Monopoly, board game, strategy, family fun",5-8 years
10,Jenga Classic,Board Games,12.99,50,"Wooden stacking game, a family favorite.","Jenga, stacking, balance, board game, game, board",6+ years
11,Baby Rattle Set,Baby Toys,9.99,40,Colorful rattles to engage babies' attention.,"Rattle, baby, sound, sensory",0-2 years
12,Crayola Coloring Set,Art Supplies,13.99,60,"100-piece coloring set with crayons, markers, and paper.","Coloring, crayons, art, creativity",4+ years
13,Toy Drum Set,Musical Toys,19.99,20,"Beginner drum set for kids, includes drumsticks.","Music, drums, rhythm, beginner",3-8 years
14,Magic Tricks Set,Educational Toys,18.99,25,Learn easy magic tricks with step-by-step guide.,"Magic, tricks, educational, fun",6+ years
15,Disney Princess Doll Set,Dolls,29.99,35,Set of 3 princess dolls with gowns and accessories.,"Princess, Disney, dolls, dress-up",3-8 years
16,Play-Doh Fun Factory,Art Supplies,11.99,50,Play-Doh set with molds and tools for creative play.,"Play-Doh, creativity, molds, art",3-7 years
17,Soccer Ball (Size 3),Sports Toys,14.99,40,Durable size 3 soccer ball for kids.,"Soccer, ball, sports, outdoor",5+ years
18,Transformer Action Figure,Action Figures,24.99,30,Poseable Transformer figure with light-up features.,"Transformers, action figure, light-up, poseable",6-12 years
19,Rubik's Cube,Puzzle Toys,9.99,60,Classic 3x3 Rubik's Cube puzzle.,"Puzzle, Rubik's, brain teaser, logic",8+ years
20,Walkie Talkie Set,Electronic Toys,22.99,25,Two-way walkie talkie set with 2-mile range.,"Walkie talkie, communication, adventure",5+ years
